후보토큰,가상이름,구간,지원채널,포지션,지원일,HR판정,서류심사,이후결과
후보068,한서준,D,그룹바이,B2B 영업 매니저 (5년 이상),2026-06-02,통과,합격 (비대면),최종 채용 (2026-07-03)
후보129,정유찬,D,원티드,B2B 영업 매니저 (5년 이상),2026-06-09,통과,합격 (비대면),2차 합격 후 처우 협의 사퇴
후보032,임도현,D,링크드인,B2B 영업 매니저 (5년 이상),2026-03-24,통과,합격 (비대면),1차 합격 → 2차 불합격
후보104,오태윤,C,원티드,B2B 영업 매니저 (5년 이상),2026-05-29,통과,합격 (비대면),1차 면접 불합격
후보077,서지안,C,원티드,B2B 영업 매니저 (3년 이상),2026-05-07,통과,합격 (비대면),1차 합격 → 2차 면접거절
후보065,노현석,C,잡코리아,B2B 영업 매니저 (3년 이상),2026-04-22,통과,합격 (비대면),1차 면접거절
후보142,차민규,B,원티드,B2B 영업 매니저 (3년 이상),2026-06-18,통과,불합격,전형 종료
후보141,구본혁,B,원픽-잡코리아,B2B 영업 매니저 (5년 이상),2026-06-18,통과,불합격,전형 종료
후보055,황인태,B,원티드,B2B 영업 매니저 (5년 이상),2026-04-17,통과,불합격,전형 종료
후보003,표진우,B,사람인,B2B 영업 매니저 (5년 이상),2026-04-23,통과,불합격,전형 종료
후보070,홍성재,B,원티드,B2B 영업 매니저 (5년 이상),2026-04-29,통과,불합격,전형 종료
후보080,안지호,B,원티드,B2B 영업 매니저 (5년 이상),2026-05-11,통과,불합격,전형 종료
후보083,남기훈,B,링크드인,B2B 영업 매니저 (5년 이상),2026-05-14,통과,불합격,전형 종료
후보103,곽태영,B,원티드,B2B 영업 매니저 (5년 이상),2026-05-28,통과,불합격,전형 종료
후보001,백승우,A,원픽-잡코리아,B2B 영업 매니저 (3년 이상),2026-07-08,불합격 - 허수 지원,불합격,전형 종료
후보002,심규원,A,잡코리아,B2B 영업 매니저 (5년 이상),2026-07-06,불합격 - 경력/역량 부족,불합격,전형 종료
후보074,하은성,A,원티드,B2B 영업 매니저 (3년 이상),2026-05-06,불합격 - 경력/역량 부족,불합격,전형 종료
후보011,문재영,A,사람인,B2B 영업 매니저 (3년 이상),2026-03-08,불합격 - 회사/지원자 FIT,불합격,전형 종료
후보073,석지환,A,원티드,B2B 영업 매니저 (5년 이상),2026-05-05,불합격 - 회사/지원자 FIT,불합격,전형 종료
후보005,위성민,A,그룹바이,B2B 영업 매니저 (5년 이상),2026-06-29,"불합격 - 경력/역량 부족,불합격 - 회사/지원자 FIT",불합격,전형 종료
